;year;nr;name;land;str_cl;cars_r1;cars_r2;trucks_r1;trucks_r2
313;2016;6878;Welkers;HE;A;20337;20288;4564;4643
314;2016;6875;Wetzlos;HE;A;23716;23714;5200;5329
315;2016;3440;Wülferode;NI;A;30839;30410;5365;5102
316;2016;9180;AD Inntal (W);BY;A;;;;
317;2016;9223;AD München-Eschenried;BY;A;19587;20338;;
318;2016;200;AD Saarlouis;SL;A;22073;21660;2353;2583
319;2016;9224;AK München Süd;BY;A;61517;59241;;
320;2016;9140;AK München-West (O);BY;A;16973;18673;806;810
321;2016;9141;AK München-West (W);BY;A;22675;22908;1251;1243
322;2016;9195;AS Anger;BY;A;18168;19728;;
323;2016;9192;AS Grabenstätt;BY;A;27120;27147;3976;3798
324;2016;9225;AS Holzkirchen;BY;A;40793;46780;6144;5980
325;2016;9227;AS Irschenberg;BY;A;39921;39961;5166;5633
326;2016;9193;AS Schweinbach;BY;A;;;;
327;2016;9194;AS Traunstein;BY;A;;;;
328;2016;9226;AS Weyarn;BY;A;42222;41917;7406;6559
329;2016;9960;Adelzhausen (O);BY;A;40537;40691;5507;5629
330;2016;9132;Adelzhausen (W);BY;A;40467;40527;5349;5507
331;2016;8078;Aichelberg;BW;A;35701;36304;5699;5514
332;2016;9962;Augsburg-Ost;BY;A;47542;47815;6630;6664
333;2016;9963;Augsburg-West;BY;A;52513;52762;7355;7566
334;2016;9131;Augsburg-West (W);BY;A;37674;38113;5089;5222
335;2016;9032;Bad Reichenhall (O);BY;A;;;;
336;2016;135;Bayrisch Kohlhof;SL;A;25402;26024;3261;3671
337;2016;9012;Burgau (W);BY;A;30914;31361;4923;5024
338;2016;9772;Dachau/FFB (O);BY;A;52973;53892;5578;5887
339;2016;9773;Dachau/FFB (W);BY;A;;;;
340;2016;8075;Denkendorf;BW;A;53657;52897;6647;6536
341;2016;9961;Derching;BY;A;43459;44231;6180;6295
342;2016;407;Dillingen-Mitte;SL;A;21832;22312;1962;2226
343;2016;132;Einöd;SL;A;17404;17112;1841;1856
344;2016;141;Elversberg;SL;A;29018;29318;3215;3665
345;2016;9028;Felden (O);BY;A;29000;28457;3350;3400
346;2016;9026;Frasdorf (O);BY;A;30580;30255;3263;3473
347;2016;142;Friedrichsthal;SL;A;;;;
348;2016;140;Heinitz;SL;A;28307;27628;3185;3589
349;2016;145;Heusweiler;SL;A;18684;18486;2424;2619
350;2016;9171;Holzkirchen (W);BY;A;56091;53182;;
351;2016;148;Hülzweiler;SL;A;15543;15720;2201;2496
352;2016;7184;Ixheim;RP;A;12434;12986;1589;1760
353;2016;136;Kohlhof;SL;A;27029;27681;3431;3854
354;2016;9966;Leipheim (O);BY;A;33256;33607;5540;5628
355;2016;9130;Leipheim (W);BY;A;32757;33168;5641;5826
356;2016;134;Limbach;SL;A;21552;22194;2020;2195
357;2016;154;Mechern;SL;A;16224;16238;1607;1833
358;2016;144;Merchweiler;SL;A;24651;24357;2807;3016
359;2016;8068;Merklingen;BW;A;;;;
360;2016;9082;München-Perlach (S);BY;A;25959;26989;691;674
361;2016;214;Nalbach;SL;A;;;;
362;2016;9031;Neukirchen (O);BY;A;23029;22563;;
363;2016;9964;Neusäß (W);BY;A;35142;35267;4973;5058
364;2016;146;Niedersalbach;SL;A;15298;15828;2183;2492
365;2016;9014;Odelzhausen (O);BY;A;43603;43877;5409;5524
366;2016;8077;Pforzheim-Ost;BW;A;44025;45410;6651;6786
367;2016;143;Quierschied;SL;A;25447;25478;2839;3185
368;2016;9023;Rosenheim (O);BY;A;33662;33829;3319;3718
369;2016;324;Saarlouis-Röderberg;SL;A;19792;19669;2354;2646
370;2016;147;Schwarzenholz;SL;A;15267;15647;2219;2488
371;2016;153;Schwemlingen;SL;A;12487;13248;1478;1724
372;2016;139;Spiesen;SL;A;26212;26689;3076;3569
373;2016;138;Spiesen 2;SL;A;22866;24515;3031;3607
374;2016;151;Steinrausch;SL;A;20645;20586;2325;2656
375;2016;8073;Stuttgart-Vaihingen;BW;A;76944;72799;9998;9278
376;2016;9003;Sulzemoos (O);BY;A;45135;45521;5440;5637
377;2016;400;Tunnel Pellinger Berg;SL;A;9540;9855;1232;1498
378;2016;137;Wellesweiler;SL;A;21760;23556;2894;3525
379;2016;9013;Zusmarshausen (O);BY;A;32104;32269;4853;4921
380;2016;9965;Zusmarshausen (W);BY;A;30885;31149;4861;4934
381;2016;9903;AD Bayer. Vogtland (N);BY;A;20590;21017;4274;4316
382;2016;9994;AD Bayer. Vogtland (S);BY;A;27734;27742;5731;5943
383;2016;9001;AD Bayreuth/Kulmbach (N);BY;A;36463;36621;6793;6878
384;2016;9002;AD Bayreuth/Kulmbach (S);BY;A;34052;34794;6041;5937
385;2016;9241;AD Dreieck Holledau;BY;A;;;;
386;2016;9056;AD Holledau (N);BY;A;;;;
387;2016;9110;AD Holledau (S);BY;A;;;;
388;2016;9538;AD Nürnberg-Feucht (S);BY;A;40833;41713;5744;5975
389;2016;9115;AK München-Nord (N);BY;A;;;;
390;2016;9066;AK München-Nord (S);BY;A;63964;60523;3346;3241
391;2016;9059;AK Neufahrn (N);BY;A;;;;
392;2016;9065;AK Neufahrn (S);BY;A;;;;
393;2016;9042;AK Nürnberg (N);BY;A;39089;40660;6122;6515
394;2016;9060;AK Nürnberg (S);BY;A;53783;56452;8733;8914
395;2016;9057;AK Nürnberg-Ost (N);BY;A;51302;54765;8469;8829
396;2016;9754;AK Nürnberg-Ost (S);BY;A;35591;35485;6300;5195
397;2016;9539;AS Allersberg (S);BY;A;36737;37457;5420;5662
398;2016;9623;AS Bayreuth-Nord;BY;A;31842;32588;5731;5731
399;2016;9622;AS Bindlacher Berg;BY;A;33508;34175;5881;5658
400;2016;9620;AS Hof-West;BY;A;32606;33179;7094;7276
401;2016;9621;AS Münchberg-Nord;BY;A;32005;32660;7066;7311
402;2016;9536;AS Pegnitz;BY;A;27374;29494;5549;5516
403;2016;9058;Allershausen (N);BY;A;;;;
404;2016;3905;Bad Dürrenberg Süd;ST;A;32721;33108;7028;7012
405;2016;4320;Bad Klosterlausnitz;TH;A;33721;33251;6599;6431
406;2016;3811;Dessau;ST;A;29197;29358;4269;4261
407;2016;9062;Garching-Nord (N);BY;A;70770;67297;6550;5721
408;2016;9063;Garching-Nord (S);BY;A;72864;73715;6477;6611
409;2016;9061;Greding (N);BY;A;36224;36879;5589;5655
410;2016;3904;Günthersdorf;ST;A;34386;34590;7099;7004
411;2016;4322;HK/Nord;TH;A;33645;32347;7009;6361
412;2016;4321;HK/Süd;TH;A;26669;21857;5677;4562
